APPLUS EBENE;APPLUS BEZEICHNUNG;APPLUS ARTIKELNUMMER;APPLUS MENGE;APPLUS MENGENEINHEIT;APPLUS ARTIKELGRUPPE;APPLUS PROFILLÄNGE;APPLUS FLÄCHE;APPLUS STANDARDPROFILLÄNGE;APPLUS STANDARDFLÄCHE;APPLUS EINKAUF;APPLUS LAGER;APPLUS FERTIGUNG;APPLUS AUFTRAG;APPLUS LÄNGE;APPLUS BREITE;APPLUS WAND ID;APPLUS BSU ID;APPLUS KLEINTEILBEZEICHNUNG;APPLUS KLEINTEILSCHLÜSSEL;APPLUS KLEINTEILARTIKELNUMMER
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;2,5023;;3,125;1;1;0;0;1250;2400;Wand 2 OSB 3 AW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 561);10020999;1;Stück;Platte;;1,188359;;3,125;1;1;0;0;561;2400;Wand 2 OSB 3 AW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;2,531356;;3,125;1;1;0;0;1250;2400;Wand 2 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 562);10020999;1;Stück;Platte;;1,205453;;3,125;1;1;0;0;562;2400;Wand 2 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;2,503239;;3,125;1;1;0;0;1250;2400;Wand 2 OSB 3 AW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 868);10020999;1;Stück;Platte;;1,923202;;3,125;1;1;0;0;868;2400;Wand 2 OSB 3 AW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 715);10020999;1;Stück;Platte;;1,495741;;3,125;1;1;0;0;715;2400;Wand 2 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- Standardplatte OSB 3 (2400 x 1250);10020999;1;Stück;Platte;;2,60725;;3,125;1;1;0;0;1250;2400;Wand 2 OSB 3 IW;27;Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28);18;1002033
4;Platte- GK-Platte Weather Defence (1200 x 238);1001960;1;Stück;Platte;;0,285;;3;1;1;0;0;238;1200;Wand 2 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
4;Platte- GK-Platte Weather Defence (1200 x 287);1001960;1;Stück;Platte;;0,3438;;3;1;1;0;0;287;1200;Wand 2 WD;26;Hilti Magazin S-DD01B 3,5x25;18;1000023
