APPLUS EBENE,APPLUS BEZEICHNUNG,APPLUS ARTIKELNUMMER,APPLUS MENGE,APPLUS MENGENEINHEIT,APPLUS ARTIKELGRUPPE,APPLUS PROFILLÄNGE,APPLUS FLÄCHE,APPLUS STANDARDPROFILLÄNGE,APPLUS STANDARDFLÄCHE,APPLUS EINKAUF,APPLUS LAGER,APPLUS FERTIGUNG,APPLUS AUFTRAG,APPLUS LÄNGE,APPLUS BREITE,APPLUS WAND ID,APPLUS KLEINTEILMENGE,APPLUS KLEINTEILBEZEICHNUNG,APPLUS KLEINTEILSCHLÜSSEL,APPLUS KLEINTEILARTIKELNUMMER,APPLUS BSU ID,Wand ID
5,,1001960,0.059,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- GK-Platte Weather Defence (525 x 112) 0.059 M2,26011205250059,1,Stück,PlatteS,,0.059,,3,0,0,1,1,0112,0525,Wand 2 Laibung,2,"Hilti Magazin S-DD01B 3,5x25",18,1000023,26,2
5,,1001960,0.059,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- GK-Platte Weather Defence (2021 x 112) 0.226 M2,26011220210226,2,Stück,PlatteS,,0.226,,3,0,0,1,1,0112,2021,Wand 2 Laibung,5,"Hilti Magazin S-DD01B 3,5x25",18,1000023,26,2
5,,1001960,0.226,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- GK-Platte Weather Defence (1200 x 238) 0.285 M2,26023812000285,1,Stück,PlatteS,,0.285,,3,0,0,1,1,0238,1200,Wand 2 WD,6,"Hilti Magazin S-DD01B 3,5x25",18,1000023,26,2
5,,1001960,0.285,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- GK-Platte Weather Defence (1200 x 287) 0.344 M2,26028712000344,1,Stück,PlatteS,,0.344,,3,0,0,1,1,0287,1200,Wand 2 WD,7,"Hilti Magazin S-DD01B 3,5x25",18,1000023,26,2
5,,1001960,0.344,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- GK-Platte Weather Defence (1200 x 1534) 1.023 M2,26153412001023,1,Stück,PlatteM,,1.023,,3,0,0,1,1,1534,1200,Wand 2 WD,19,"Hilti Magazin S-DD01B 3,5x25",18,1000023,26,2
5,,1001960,1.023,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- GK-Platte Weather Defence (1200 x 1811) 1.561 M2,26181112001561,1,Stück,PlatteL,,1.561,,3,0,0,1,1,1811,1200,Wand 2 WD,29,"Hilti Magazin S-DD01B 3,5x25",18,1000023,26,2
5,,1001960,1.561,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- GK-Platte Weather Defence (1200 x 2130) 1.943 M2,26213012001943,1,Stück,PlatteL,,1.943,,3,0,0,1,1,2130,1200,Wand 2 WD,35,"Hilti Magazin S-DD01B 3,5x25",18,1000023,26,2
5,,1001960,1.943,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- GK-Platte Weather Defence (1200 x 1811) 2.173 M2,26181112002173,1,Stück,PlatteL,,2.173,,3,0,0,1,1,1811,1200,Wand 2 WD,40,"Hilti Magazin S-DD01B 3,5x25",18,1000023,26,2
5,,1001960,2.173,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- GK-Platte Weather Defence (1200 x 2130) 2.556 M2,26213012002556,1,Stück,PlatteL,,2.556,,3,0,0,1,1,2130,1200,Wand 2 WD,47,"Hilti Magazin S-DD01B 3,5x25",18,1000023,26,2
5,,1001960,2.556,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- Standardplatte OSB 3 (2400 x 369) 0.372 M2,27036924000372,1,Stück,PlatteS,,0.372,,"3,125",0,0,1,1,0369,2400,Wand 2 OSB 3 IW,7,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",18,1002033,27,2
5,,10020999,0.372,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- Standardplatte OSB 3 (2400 x 417) 0.711 M2,27041724000711,1,Stück,PlatteM,,0.711,,"3,125",0,0,1,1,0417,2400,Wand 2 OSB 3 AW,13,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",18,1002033,27,2
5,,10020999,0.711,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- Standardplatte OSB 3 (2400 x 1106) 0.848 M2,27110624000848,1,Stück,PlatteM,,0.848,,"3,125",0,0,1,1,1106,2400,Wand 2 OSB 3 AW,16,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",18,1002033,27,2
5,,10020999,0.848,M2,,,,,,1,1,0,0,,,,,,,,,
4,Platte- Standardplatte OSB 3 (2400 x 1082) 1.078 M2,27108224001078,1,Stück,PlatteM,,1.078,,"3,125",0,0,1,1,1082,2400,Wand 2 OSB 3 IW,20,"Würth Zebra Flügel-Piasta-BS Senkkopf AW20 (3,9x28)",18,1002033,27,2
5,,10020999,1.078,M2,,,,,,1,1,0,0,,,,,,,,,
